symbol,min_spread,phi,open_mult,rho,zeta,theta_kappa,classifier_threshold,train_sharpe,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.5,-91.9644,3.755,-238112.08,-292319.04,-58463.81,0,4,7857.42
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.6,-102.1125,3.6775,-244850.0,-299591.56,-59918.31,0,4,6968.38
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.4,-212.2839,3.1825,-281299.02,-354518.78,-70903.76,0,4,12935.7
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.5,-146.794,3.05,-295079.72,-373901.8,-74780.36,0,4,13888.68
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.6,-145.4675,3.0125,-300327.99,-378599.77,-75719.95,0,4,13928.21
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.4,-7.8372,3.6825,-167109.49,-137196.69,-27439.34,2,4,47511.45
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.5,-5.782,3.955,-163120.93,-116818.95,-23363.79,2,4,47883.1
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.6,-5.9781,3.9875,-155123.57,-109848.84,-21969.77,2,4,46941.85
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.4,-84.3545,3.64,-241125.72,-303138.3,-60627.66,0,4,9757.92
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.5,-91.9581,3.755,-238124.44,-292331.4,-58466.28,0,4,7857.78
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.6,-102.1047,3.6775,-244859.27,-299600.83,-59920.17,0,4,6968.59
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,2.0,0.4,-212.3609,3.1825,-281302.12,-354521.87,-70904.37,0,4,12931.46
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,2.0,0.5,-146.795,3.05,-295085.9,-373907.98,-74781.6,0,4,13886.87
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,1.0,2.0,0.6,-145.4675,3.0125,-300331.08,-378602.86,-75720.57,0,4,13927.15
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.0,0.4,-8.1825,3.665,-169383.29,-142069.1,-28413.82,2,4,46994.01
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.0,0.5,-5.6653,4.005,-158845.08,-112855.03,-22571.01,2,4,46985.72
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.0,0.6,-5.9777,3.9875,-155123.56,-109845.74,-21969.15,2,4,46942.74
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.5,0.4,-91.0317,3.655,-239822.4,-302339.19,-60467.84,0,4,9301.42
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.5,0.5,-92.0042,3.755,-238112.08,-292328.3,-58465.66,0,4,7857.23
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,1.5,0.6,-102.1125,3.6775,-244850.0,-299591.56,-59918.31,0,4,6968.38
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,2.0,0.4,-3075.7302,3.315,-271725.01,-344941.67,-68988.33,0,4,11716.21
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,2.0,0.5,-146.7561,3.05,-295088.98,-373907.97,-74781.59,0,4,13889.4
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.3,2.0,0.6,-145.4151,3.0125,-300331.08,-378599.77,-75719.95,0,4,13928.84
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.0,0.4,-7.8379,3.6825,-167103.3,-137196.67,-27439.33,2,4,47511.89
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.0,0.5,-5.7815,3.955,-163120.92,-116812.77,-23362.55,2,4,47885.81
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.0,0.6,-5.9773,3.9875,-155123.56,-109842.65,-21968.53,2,4,46943.62
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.5,0.4,-85.7894,3.64,-241107.18,-303630.15,-60726.03,0,4,9773.89
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.5,0.5,-91.9644,3.755,-238112.08,-292319.04,-58463.81,0,4,7857.42
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,1.5,0.6,-102.1125,3.6775,-244850.0,-299591.56,-59918.31,0,4,6968.38
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,2.0,0.4,-212.2839,3.1825,-281299.02,-354518.78,-70903.76,0,4,12935.7
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,2.0,0.5,-146.794,3.05,-295079.72,-373901.8,-74780.36,0,4,13888.68
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,0.5,2.0,0.6,-145.4675,3.0125,-300327.99,-378599.77,-75719.95,0,4,13928.21
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.0,0.4,-7.8372,3.6825,-167109.49,-137196.69,-27439.34,2,4,47511.45
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.0,0.5,-5.782,3.955,-163120.93,-116818.95,-23363.79,2,4,47883.1
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.0,0.6,-5.9781,3.9875,-155123.57,-109848.84,-21969.77,2,4,46941.85
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.5,0.4,-84.3545,3.64,-241125.72,-303138.3,-60627.66,0,4,9757.92
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.5,0.5,-91.9581,3.755,-238124.44,-292331.4,-58466.28,0,4,7857.78
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,1.5,0.6,-102.1047,3.6775,-244859.27,-299600.83,-59920.17,0,4,6968.59
ADANIENT26JUNFUT,0.1,0.001,2.0,0.3,1.0,2.0,0.4,-212.3609,3.1825,-281302.12,-354521.87,-70904.37,0,4,12931.46
